,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Yearly_IncomeK,Will_vote_only_large_party,Weighted_education_rank,Number_of_valued_Kneset_members,Overall_happiness_score
0,Environment,68.83351684,284.6349338,484.82416039999987,No,250.1788656,13.0,626.4003438999998
1,Social,236.8680923,691.1685749,635.705358,No,235.9610606,8.0,473.2370794
2,Education,101.2145712,237.1845775,439.600051,No,290.937915,16.0,609.2005962999998
3,Healthcare,39.89924259,473.1426121,444.38889410000013,No,84.43367298,14.0,442.4228279
4,Social,589.5334343999998,463.0720694,269.6666275,Yes,306.782856,9.0,699.2450405000002
5,Environment,37.86979125,510.51633210000006,386.7799339,No,138.1606834,10.0,421.5207171
6,Financial,121.799766,304.2998273,371.2743806,No,258.6072085,6.0,390.4151214
7,Environment,766.1896598999998,537.8201622,490.1976389,Yes,39.23053629,12.0,503.5473969
8,Education,108.4178934,400.7488259,312.3144852,No,219.0234778,13.0,446.19818
9,Financial,471.3831233,486.5548185,580.1987251,Yes,168.2514381,12.0,352.7045894
10,Education,53.2763769,415.8137976,448.3997906,No,99.08885968,15.0,508.2887773
11,Social,202.399583,472.0881178,460.0179607,No,61.83474782,10.0,461.9750161
12,Environment,26.67133423,306.4924281000001,370.3490687,No,253.0820981,8.0,401.0252355
13,Financial,137.6596543,335.2136508,333.7504344,No,240.670061,6.0,555.9340624
14,Financial,152.13503730000005,464.1591425,425.9167273,No,87.9803577,5.0,468.8930076
15,Education,608.8516467999998,755.1034449,185.0835241,Yes,415.9117684,12.0,593.4475506
16,Social,161.9093017,715.3983766,674.8108352,No,278.1202279,6.0,519.889002
17,Healthcare,311.7503589,698.6034225999998,621.5734277,No,236.4897333,7.0,458.72075369999993
18,Education,149.26740159999997,329.2831204,468.8095624,No,226.3872142,,645.3756319
19,Social,87.58646256,488.86383600000005,414.9136626,No,90.94897227,6.0,469.8666864
20,Foreign_Affairs,295.1519235,464.0662712,390.12741960000005,Maybe,157.86463840000005,8.0,392.4917339
21,Healthcare,30.16589497,496.9615841,475.6040289,No,34.46465944,7.0,475.8459657
22,Environment,19.98907184,319.804284,389.4349065,No,232.2190724,8.0,596.0758119
23,Social,48.58194083,332.3505535,379.620929,No,232.3817357,6.0,393.211361
24,Other,73.29032532,419.0385143,438.792969,Maybe,108.2920111,9.0,537.7636977000002
25,Environment,111.9023647,461.2485677,432.131035,No,122.1501296,15.0,593.8764307
26,Education,413.3419164,203.1641857,631.1583156,Yes,351.0299591,14.0,366.1791204
27,Financial,172.0513544,420.0041401,449.0486163,No,96.44095462,12.0,517.4778897
28,Other,48.98430485,389.6480828,401.8688445,Maybe,150.61106830000003,9.0,470.3955308
29,Social,73.24889796,552.7450461,472.5708398,No,66.46977159,7.0,470.2706909
30,Education,31.6282824,298.8892532,378.6698898,No,252.6895518,10.0,406.8040692
31,Education,40.22145379999999,474.21232740000005,413.4064798,No,125.7313429,10.0,412.5647166
32,Financial,55.07649459,439.141912,492.2854652,No,70.94417937,10.0,535.6350342000002
33,Financial,268.4614546,440.2853834,422.8940222,No,98.20631785,12.0,488.4538482
34,Social,390.2810828,241.4291286,618.3403624,Yes,304.8564123,9.0,390.1178122
35,Financial,367.9573713,445.413606,444.2900022,Yes,113.8744294,11.0,417.0294787
36,Environment,78.36173762,423.2877224,445.2928155,No,94.86784979,14.0,511.0570951
37,Environment,485.1560608,660.7798227000002,255.1984601,Yes,292.8948505,14.0,496.9262157
38,Military,228.284684,436.2335732,403.2030264,Maybe,130.5355774,8.0,439.9689607
39,Foreign_Affairs,106.8821564,481.2524035,504.0301012,Maybe,82.48806595,6.0,419.7717822
40,Healthcare,64.49383595,271.9650749,523.8003271000001,No,265.705427,10.0,634.2869736
41,Social,94.90403061,717.1800312,651.3449201000002,No,265.2826932,6.0,482.6087241
42,Social,137.2650032,296.6726652,333.8262921,No,279.5862958,8.0,404.0167177
43,Foreign_Affairs,175.94717649999996,514.0420723,371.9273913,Maybe,132.471561,6.0,469.1951043
44,Education,152.017313,,407.3450353,No,272.2324785,9.0,381.7241504
45,Financial,124.529115,315.1123905,356.7544660000001,No,240.3378646,7.0,555.3134521000002
46,Healthcare,151.76775080000004,467.9244888,439.161833,No,122.1892336,11.0,399.0045158
47,Education,106.43509170000002,274.92916260000004,261.4133579,No,329.374898,11.0,469.8776531
48,Education,111.6318185,306.6290753,476.0287412,No,252.4591262,16.0,660.5262428999998
49,Environment,126.8334758,340.5657041,404.0337072,No,196.0915416,8.0,438.1690318
50,Other,281.78358189999994,381.4770907,399.3660087,Maybe,158.37269569999995,11.0,530.1169468999999
51,Social,535.7260679,489.7399288,196.0385576,Yes,306.72959,9.0,460.1852559
52,Financial,158.0956825,340.3384276999999,408.4759254,No,200.8162337,6.0,419.6340506
53,Financial,295.5453753999999,321.4843465,349.5433918,No,260.36337430000003,5.0,384.7435155
54,Foreign_Affairs,73.17686889,440.6023383,363.9269851,Maybe,171.97489850000005,8.0,413.2162567
55,Healthcare,99.00085097,372.5801068,452.2207864,No,157.1009257,14.0,578.4985247999998
56,Social,169.1057372,377.4102764,451.21301449999993,No,136.1654939,13.0,533.6545903
57,Education,48.96085325,483.5492516,446.1578373,No,59.34856541,10.0,481.22111280000007
58,Healthcare,430.1194233,349.96325299999995,475.2356437,Yes,182.5850831,13.0,398.9405434
59,Environment,168.38013669999995,397.6858205,397.0138776,No,148.62404890000005,13.0,468.1444639
60,Military,48.35012712,432.1782577,414.286783,Maybe,159.3178698,6.0,384.08779460000005
61,Healthcare,296.6427055000001,305.4417646,521.3765829,No,269.46900730000004,11.0,685.2125283
62,Environment,354.55504069999995,248.5142523,348.3370774,Yes,316.3067686,13.0,617.4872267999998
63,Financial,47.17368455,370.5378209,442.65381,No,172.1355561,10.0,402.1143098
64,Social,244.3667929,276.7883254,536.260049,No,262.55821430000003,13.0,633.4112927
65,Financial,192.7029612,708.0511162,647.6564956,No,255.15492090000004,5.0,504.0405504
66,Social,129.82326129999998,288.2859136,535.7988143,No,266.3723155,13.0,657.6381964999998
67,Environment,36.90130328,407.9634909,406.6671611,No,131.2667807,12.0,492.9835989
68,Military,139.6987343,411.517126,416.6331652,Maybe,179.7164138,9.0,367.6416181
69,Environment,61.98938634,689.0421154000002,657.1580508,No,246.3806191,10.0,483.6343305
70,Environment,333.5892195,474.4537017,442.0952065,No,70.98498193,8.0,467.855184
71,Social,86.49851423,,361.3472387,No,250.6318376,7.0,392.1470878
72,Education,90.76322603,316.3486763,379.0505089,No,245.01823990000003,10.0,391.938213
73,Financial,565.0781843,140.78457509999996,332.1126767,Yes,,12.0,84.43974936
74,Military,,370.6542532,476.2398373,Maybe,152.6585808,8.0,422.4772631
75,Social,39.95790658,299.5350711000001,340.9743793,No,272.3043685,6.0,406.863899
76,Healthcare,223.3489583,689.9140921000002,632.3075866,No,232.6982528,7.0,476.0038132
77,Financial,524.8034084,760.0095434,625.2920207000002,Yes,317.7680339,11.0,632.9416047999998
78,Social,91.23018213,299.1929654,347.54354,No,275.6479235,6.0,388.5758535
79,Social,29.87093184,278.2933867,513.4542607,No,266.1269631,9.0,646.5903169
80,Financial,210.87547680000003,299.0672649,391.6320835,No,243.4602369,5.0,415.4108894
81,Healthcare,692.2133701,275.5593341,351.1670524,Yes,295.173002,11.0,620.8397382
82,Education,485.428117,741.8222046,269.35001760000006,Yes,597.3287306,13.0,4.8997885000000005
83,Financial,369.5582143,272.1344782,331.9085369,Yes,304.8624895,11.0,387.0234472
84,Education,82.6052219,712.7996843999998,673.2902946,No,274.4463855,11.0,502.7543836
85,Healthcare,286.6631294,391.7559432,369.298906,No,169.931871,14.0,508.7914143
86,Environment,71.73342971,363.3468396,387.0677161,No,179.08481469999995,12.0,474.63104560000005
87,Social,242.1229687,299.73755960000005,348.73859280000005,No,274.7753742,7.0,388.1230681
88,Healthcare,109.0634068,521.9428858,,No,69.367005,8.0,481.7303166
89,Environment,78.61504224,718.8536739,639.5490136,No,260.8735257,10.0,473.84395610000007
90,Social,281.8636403,315.0701555,313.9235253,No,272.8852684,7.0,575.1190247999998
