,Vote
0,10
1,9
2,10
3,8
4,7
5,6
6,5
7,2
8,8
9,7
10,8
11,8
12,5
13,6
14,5
15,7
16,9
17,9
18,10
19,5
20,1
21,5
22,9
23,5
24,3
25,8
26,4
27,8
28,3
29,5
30,5
31,5
32,8
33,8
34,4
35,2
36,8
37,7
38,1
39,1
40,10
41,9
42,9
43,3
44,9
45,9
46,8
47,6
48,10
49,5
50,11
51,7
52,5
53,5
54,1
55,8
56,8
57,6
58,7
59,8
60,1
61,10
62,4
63,8
64,10
65,9
66,10
67,8
68,1
69,9
70,5
71,5
72,5
73,7
74,1
75,9
76,9
77,7
78,5
79,10
80,9
81,7
82,7
83,4
84,9
85,8
86,8
87,5
88,5
89,9
90,6
91,7
92,10
93,11
94,7
95,9
96,5
97,5
98,5
99,8
100,9
101,1
102,10
103,8
104,4
105,5
106,10
107,1
108,10
109,11
110,9
111,5
112,5
113,6
114,10
115,8
116,8
117,9
118,8
119,10
120,5
121,11
122,5
123,9
124,5
125,11
126,7
127,8
128,8
129,10
130,8
131,8
132,8
133,1
134,7
135,2
136,5
137,8
138,10
139,5
140,9
141,7
142,9
143,8
144,8
145,5
146,5
147,8
148,5
149,1
150,1
151,8
152,9
153,5
154,8
155,10
156,8
157,8
158,1
159,8
160,8
161,5
162,9
163,9
164,8
165,11
166,5
167,7
168,8
169,5
170,8
171,1
172,6
173,9
174,7
175,7
176,8
177,1
178,8
179,8
180,10
181,7
182,2
183,3
184,1
185,5
186,8
187,5
188,4
189,8
190,1
191,5
192,10
193,3
194,7
195,6
196,5
197,5
198,10
199,1
200,1
201,5
202,3
203,10
204,11
205,8
206,8
207,7
208,3
209,7
210,5
211,6
212,9
213,5
214,8
215,7
216,9
217,2
218,6
219,4
220,5
221,11
222,8
223,3
224,5
225,11
226,7
227,1
228,3
229,6
230,11
231,7
232,10
233,11
234,8
235,5
236,8
237,8
238,7
239,8
240,5
241,5
242,8
243,7
244,8
245,4
246,7
247,1
248,5
249,5
250,8
251,4
252,5
253,8
254,5
255,5
256,6
257,9
258,8
259,8
260,4
261,4
262,10
263,8
264,8
265,10
266,10
267,10
268,8
269,2
270,7
271,7
272,10
273,8
274,10
275,9
276,9
277,8
278,4
279,8
280,1
281,8
282,10
283,10
284,8
285,4
286,5
287,8
288,1
289,7
290,5
291,1
292,7
293,9
294,9
295,5
296,5
297,4
298,7
299,5
300,10
301,7
302,8
303,7
304,7
305,4
306,4
307,3
308,5
309,5
310,8
311,1
312,4
313,7
314,9
315,1
316,8
317,4
318,2
319,9
320,5
321,8
322,10
323,5
324,8
325,8
326,9
327,8
328,10
329,11
330,5
331,8
332,7
333,8
334,5
335,1
336,7
337,5
338,8
339,8
340,1
341,6
342,6
343,9
344,1
345,5
346,7
347,7
348,8
349,1
350,7
351,7
352,5
353,10
354,3
355,9
356,8
357,5
358,5
359,7
360,3
361,8
362,4
363,8
364,7
365,4
366,8
367,11
368,9
369,8
370,11
371,8
372,10
373,10
374,8
375,7
376,5
377,6
378,5
379,2
380,11
381,5
382,9
383,8
384,11
385,8
386,8
387,8
388,2
389,2
390,1
391,9
392,8
393,8
394,3
395,2
396,10
397,5
398,9
399,9
400,10
401,9
402,10
403,8
404,5
405,7
406,7
407,7
408,10
409,2
410,1
411,10
412,2
413,4
414,8
415,5
416,5
417,4
418,8
419,1
420,10
421,8
422,2
423,3
424,1
425,8
426,5
427,7
428,8
429,2
430,9
431,8
432,5
433,5
434,8
435,5
436,10
437,5
438,8
439,8
440,5
441,8
442,5
443,8
444,8
445,11
446,9
447,11
448,10
449,10
450,5
451,7
452,1
453,8
454,7
455,8
456,5
457,8
458,8
459,5
460,1
461,8
462,8
463,6
464,9
465,10
466,5
467,9
468,9
469,8
470,11
471,8
472,5
473,7
474,5
475,1
476,5
477,8
478,9
479,2
480,4
481,8
482,5
483,9
484,3
485,10
486,7
487,11
488,5
489,5
490,7
491,2
492,6
493,7
494,10
495,8
496,4
497,10
498,7
499,5
500,4
501,4
502,5
503,5
504,10
505,9
506,7
507,8
508,5
509,9
510,7
511,10
512,2
513,8
514,5
515,5
516,7
517,8
518,4
519,11
520,9
521,10
522,9
523,8
524,7
525,10
526,7
527,8
528,9
529,2
530,4
531,5
532,11
533,9
534,8
535,5
536,5
537,5
538,5
539,1
540,4
541,2
542,1
543,8
544,10
545,9
546,8
547,9
548,8
549,8
550,4
551,11
552,7
553,3
554,10
555,9
556,5
557,6
558,8
559,9
560,7
561,7
562,7
563,5
564,8
565,8
566,9
567,8
568,5
569,7
570,9
571,5
572,7
573,3
574,8
575,6
576,8
577,9
578,4
579,7
580,1
581,10
582,8
583,8
584,11
585,11
586,8
587,7
588,1
589,1
590,4
591,6
592,6
593,6
594,3
595,8
596,5
597,8
598,7
599,10
600,1
601,8
602,3
603,10
604,4
605,11
606,8
607,10
608,3
609,8
610,10
611,2
612,1
613,9
614,10
615,8
616,5
617,2
618,10
619,8
620,8
621,2
622,7
623,9
624,5
625,4
626,5
627,7
628,5
629,7
630,8
631,5
632,5
633,9
634,7
635,10
636,9
637,5
638,10
639,7
640,8
641,4
642,9
643,6
644,8
645,1
646,9
647,10
648,8
649,10
650,5
651,8
652,5
653,6
654,5
655,7
656,8
657,8
658,9
659,9
660,8
661,8
662,9
663,7
664,4
665,11
666,3
667,9
668,8
669,8
670,11
671,10
672,1
673,5
674,11
675,7
676,5
677,8
678,5
679,8
680,8
681,11
682,3
683,7
684,10
685,2
686,3
687,9
688,6
689,9
690,5
691,3
692,5
693,6
694,7
695,1
696,2
697,11
698,6
699,10
700,5
701,10
702,9
703,4
704,9
705,8
706,10
707,9
708,5
709,5
710,5
711,9
712,5
713,7
714,8
715,8
716,7
717,7
718,11
719,8
720,8
721,9
722,7
723,7
724,8
725,8
726,1
727,11
728,7
729,1
730,8
731,4
732,5
733,9
734,10
735,5
736,10
737,11
738,4
739,4
740,8
741,4
742,5
743,5
744,6
745,5
746,6
747,1
748,10
749,8
750,5
751,4
752,5
753,8
754,5
755,5
756,10
757,5
758,4
759,11
760,8
761,11
762,3
763,5
764,10
765,8
766,1
767,1
768,9
769,7
770,8
771,5
772,3
773,8
774,8
775,7
776,11
777,5
778,11
779,10
780,8
781,6
782,11
783,5
784,7
785,8
786,8
787,2
788,10
789,8
790,8
791,9
792,11
793,9
794,2
795,6
796,8
797,8
798,8
799,1
800,5
801,5
802,5
803,10
804,9
805,10
806,5
807,8
808,8
809,8
810,3
811,5
812,4
813,5
814,10
815,8
816,8
817,5
818,9
819,10
820,5
821,3
822,4
823,7
824,8
825,8
826,3
827,8
828,11
829,10
830,2
831,10
832,8
833,8
834,8
835,5
836,9
837,8
838,5
839,8
840,1
841,8
842,10
843,10
844,3
845,3
846,8
847,4
848,6
849,6
850,9
851,7
852,8
853,1
854,4
855,8
856,5
857,6
858,10
859,1
860,8
861,8
862,1
863,8
864,10
865,11
866,4
867,5
868,5
869,11
870,9
871,8
872,11
873,8
874,8
875,5
876,11
877,9
878,8
879,5
880,2
881,9
882,1
883,1
884,10
885,8
886,7
887,11
888,9
889,5
890,5
891,9
892,8
893,10
894,10
895,9
896,8
897,10
898,3
899,7
900,7
901,8
902,7
903,4
904,9
905,10
906,10
907,7
908,10
909,8
910,10
911,11
912,7
913,2
914,8
915,6
916,5
917,8
918,10
919,1
920,2
921,8
922,7
923,5
924,8
925,9
926,8
927,5
928,8
929,5
930,8
931,4
932,5
933,8
934,8
935,1
936,8
937,7
938,2
939,8
940,11
941,9
942,10
943,8
944,5
945,5
946,8
947,7
948,10
949,8
950,5
951,7
952,6
953,10
954,4
955,10
956,10
957,8
958,1
959,4
960,8
961,3
962,8
963,5
964,8
965,5
966,2
967,10
968,10
969,3
970,8
971,5
972,5
973,4
974,5
975,10
976,8
977,8
978,7
979,7
980,1
981,8
982,5
983,11
984,8
985,5
986,4
987,8
988,4
989,10
990,8
991,8
992,4
993,9
994,4
995,8
996,8
997,7
998,11
999,8
1000,7
1001,4
1002,5
1003,8
1004,6
1005,5
1006,7
1007,11
1008,10
1009,7
1010,8
1011,8
1012,6
1013,3
1014,5
1015,1
1016,5
1017,8
1018,2
1019,10
1020,9
1021,8
1022,9
1023,8
1024,8
1025,5
1026,10
1027,8
1028,5
1029,1
1030,9
1031,5
1032,5
1033,7
1034,9
1035,1
1036,1
1037,8
1038,7
1039,7
1040,8
1041,11
1042,10
1043,10
1044,10
1045,8
1046,8
1047,10
1048,8
1049,8
1050,7
1051,9
1052,10
1053,10
1054,9
1055,11
1056,9
1057,10
1058,11
1059,9
1060,10
1061,11
1062,10
1063,8
1064,9
1065,11
1066,1
1067,5
1068,3
1069,2
1070,1
1071,8
1072,5
1073,8
1074,8
1075,11
1076,5
1077,7
1078,5
1079,8
1080,5
1081,10
1082,10
1083,7
1084,8
1085,7
1086,8
1087,8
1088,8
1089,5
1090,5
1091,10
1092,11
1093,1
1094,8
1095,7
1096,11
1097,2
1098,5
1099,8
1100,7
1101,10
1102,8
1103,8
1104,8
1105,10
1106,10
1107,8
1108,8
1109,5
1110,8
1111,4
1112,10
1113,8
1114,8
1115,8
1116,7
1117,9
1118,8
1119,10
1120,3
1121,6
1122,8
1123,9
1124,8
1125,5
1126,5
1127,8
1128,5
1129,7
1130,8
1131,9
1132,5
1133,1
1134,3
1135,7
1136,5
1137,9
1138,5
1139,8
1140,4
1141,7
1142,1
1143,5
1144,8
1145,4
1146,4
1147,8
1148,4
1149,8
1150,8
1151,4
1152,7
1153,10
1154,8
1155,8
1156,8
1157,8
1158,7
1159,10
1160,4
1161,5
1162,4
1163,1
1164,9
1165,9
1166,10
1167,2
1168,7
1169,9
1170,4
1171,1
1172,3
1173,8
1174,8
1175,11
1176,7
1177,8
1178,4
1179,8
1180,9
1181,8
1182,7
1183,8
1184,4
1185,2
1186,11
1187,5
1188,10
1189,8
1190,8
1191,6
1192,7
1193,5
1194,4
1195,5
1196,7
1197,10
1198,6
1199,10
1200,7
1201,10
1202,10
1203,10
1204,6
1205,4
1206,1
1207,8
1208,5
1209,11
1210,7
1211,1
1212,6
1213,10
1214,5
1215,1
1216,7
1217,6
1218,6
1219,8
1220,9
1221,2
1222,10
1223,2
1224,5
1225,5
1226,3
1227,10
1228,5
1229,8
1230,9
1231,9
1232,8
1233,5
1234,9
1235,5
1236,8
1237,9
1238,7
1239,10
1240,5
1241,8
1242,1
1243,8
1244,4
1245,8
1246,8
1247,8
1248,7
1249,3
1250,8
1251,7
1252,11
1253,5
1254,5
1255,5
1256,7
1257,11
1258,7
1259,10
1260,9
1261,8
1262,7
1263,4
1264,8
1265,5
1266,9
1267,5
1268,8
1269,8
1270,9
1271,11
1272,10
1273,11
1274,5
1275,5
1276,11
1277,7
1278,10
1279,5
1280,10
1281,4
1282,10
1283,8
1284,9
1285,8
1286,7
1287,7
1288,3
1289,1
1290,8
1291,5
1292,5
1293,8
1294,8
1295,7
1296,10
1297,8
1298,8
1299,1
1300,4
1301,5
1302,8
1303,5
1304,5
1305,8
1306,7
1307,10
1308,9
1309,5
1310,7
1311,10
1312,10
1313,8
1314,10
1315,8
1316,10
1317,8
1318,6
1319,5
1320,8
1321,8
1322,9
1323,10
1324,6
1325,9
1326,8
1327,7
1328,5
1329,7
1330,2
1331,8
1332,8
1333,11
1334,7
1335,8
1336,10
1337,8
1338,8
1339,11
1340,4
1341,2
1342,7
1343,7
1344,10
1345,1
1346,5
1347,7
1348,3
1349,10
1350,10
1351,10
1352,8
1353,4
1354,9
1355,7
1356,8
1357,11
1358,7
1359,9
1360,9
1361,6
1362,9
1363,1
1364,8
1365,5
1366,5
1367,5
1368,9
1369,7
1370,8
1371,10
1372,3
1373,5
1374,3
1375,5
1376,9
1377,9
1378,1
1379,9
1380,11
1381,10
1382,8
1383,3
1384,7
1385,3
1386,10
1387,5
1388,3
1389,5
1390,7
1391,10
1392,8
1393,1
1394,5
1395,8
1396,1
1397,10
1398,5
1399,5
1400,8
1401,5
1402,8
1403,7
1404,10
1405,8
1406,8
1407,8
1408,5
1409,5
1410,8
1411,8
1412,11
1413,7
1414,11
1415,1
1416,5
1417,2
1418,8
1419,10
1420,9
1421,10
1422,10
1423,3
1424,7
1425,5
1426,7
1427,7
1428,4
1429,1
1430,10
1431,7
1432,4
1433,8
1434,10
1435,5
1436,4
1437,5
1438,5
1439,9
1440,5
1441,3
1442,8
1443,2
1444,5
1445,11
1446,5
1447,5
1448,4
1449,5
1450,5
1451,7
1452,8
1453,9
1454,11
1455,5
1456,4
1457,5
1458,7
1459,8
1460,8
1461,9
1462,8
1463,5
1464,7
1465,8
1466,5
1467,8
1468,8
1469,8
1470,9
1471,5
1472,2
1473,7
1474,7
1475,8
1476,11
1477,4
1478,9
1479,5
1480,5
1481,3
1482,7
1483,5
1484,8
1485,2
1486,10
1487,5
1488,8
1489,5
1490,7
1491,8
1492,2
1493,7
1494,6
1495,8
1496,9
1497,8
1498,4
1499,10
1500,8
1501,8
1502,8
1503,10
1504,4
1505,7
1506,10
1507,9
1508,9
1509,2
1510,8
1511,5
1512,1
1513,3
1514,4
1515,5
1516,5
1517,8
1518,1
1519,7
1520,5
1521,9
1522,10
1523,9
1524,9
1525,7
1526,9
1527,2
1528,11
1529,8
1530,5
1531,8
1532,5
1533,5
1534,10
1535,8
1536,6
1537,9
1538,8
1539,5
1540,11
1541,9
1542,10
1543,11
1544,7
1545,4
1546,3
1547,8
1548,2
1549,9
1550,11
1551,7
1552,5
1553,8
1554,8
1555,8
1556,10
1557,3
1558,4
1559,5
1560,8
1561,10
1562,9
1563,11
1564,10
1565,4
1566,5
1567,10
1568,8
1569,11
1570,8
1571,1
1572,1
1573,5
1574,8
1575,9
1576,3
1577,7
1578,10
1579,7
1580,1
1581,8
1582,1
1583,3
1584,9
1585,5
1586,9
1587,3
1588,8
1589,9
1590,8
1591,8
1592,8
1593,1
1594,8
1595,1
1596,5
1597,8
1598,2
1599,8
1600,9
1601,11
1602,8
1603,8
1604,1
1605,8
1606,3
1607,10
1608,5
1609,8
1610,1
1611,8
1612,1
1613,3
1614,1
1615,9
1616,9
1617,7
1618,8
1619,4
1620,9
1621,6
1622,7
1623,9
1624,8
1625,8
1626,9
1627,1
1628,7
1629,9
1630,1
1631,8
1632,8
1633,8
1634,10
1635,8
1636,6
1637,10
1638,8
1639,8
1640,5
1641,8
1642,10
1643,8
1644,7
1645,7
1646,8
1647,5
1648,2
1649,3
1650,8
1651,8
1652,8
1653,2
1654,7
1655,5
1656,5
1657,5
1658,7
1659,8
1660,10
1661,8
1662,5
1663,1
1664,7
1665,11
1666,8
1667,9
1668,8
1669,9
1670,5
1671,10
1672,8
1673,6
1674,10
1675,8
1676,8
1677,7
1678,9
1679,7
1680,8
1681,8
1682,8
1683,8
1684,5
1685,7
1686,1
1687,2
1688,9
1689,8
1690,8
1691,5
1692,1
1693,1
1694,11
1695,7
1696,8
1697,2
1698,8
1699,10
1700,10
1701,10
1702,10
1703,2
1704,8
1705,2
1706,7
1707,6
1708,5
1709,10
1710,5
1711,8
1712,8
1713,9
1714,8
1715,2
1716,5
1717,8
1718,5
1719,9
1720,7
1721,8
1722,8
1723,8
1724,1
1725,8
1726,5
1727,2
1728,4
1729,5
1730,7
1731,8
1732,4
1733,10
1734,2
1735,1
1736,9
1737,9
1738,8
1739,10
1740,2
1741,9
1742,8
1743,1
1744,5
1745,5
1746,8
1747,10
1748,5
1749,8
1750,8
1751,7
1752,8
1753,1
1754,5
1755,1
1756,8
1757,5
1758,8
1759,8
1760,5
1761,9
1762,10
1763,7
1764,9
1765,4
1766,11
1767,8
1768,4
1769,7
1770,11
1771,8
1772,4
1773,10
1774,5
1775,8
1776,10
1777,7
1778,10
1779,8
1780,9
1781,5
1782,1
1783,4
1784,4
1785,5
1786,6
1787,9
1788,8
1789,9
1790,8
1791,5
1792,1
1793,5
1794,7
1795,8
1796,2
1797,6
1798,5
1799,8
1800,8
1801,1
1802,5
