,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
9496,4.0,712.0061703,94713.24851,Military,237.3353901,No,399.06921789999996,Yes,Female,After_16:00,0.532165001,0.8695945279999999,7.319819175,4.052433046,2.6780240330000002,1.950791385,7982.0,16.13691109,364.0862108,4718.8646,44656.54375,Maybe,159256.2407,19.08104323,207.37057959999999,47.08963651,56575.42279,30.0,45_and_up,0.0,557.7034285,6.0,Foot_or_bicycle,Public_Sector,380.23783399999996,0.0,No
2480,9.0,353.2555861,37825.57063,Education,117.75186200000002,No,321.2311889,Yes,Female,By_16:00,0.543956084,0.24702206,6.721728866,1.909691454,4.951902223,6.722816115,6930.0,43.80512843,385.87791580000004,3984.067721,45594.95445,No,103189.4767,19.6437755,233.3133649,43.33918134,13993.252869999998,100.0,45_and_up,3.0,580.8000033,9.0,Motorcycle_or_truck,Student_or_Unemployed,402.7735204,1.0,Yes
3972,2.0,279.339865,28879.28099,Healthcare,93.11328833,No,310.1520901,Yes,Male,After_16:00,0.75486624,0.326629306,7.931837338999999,2.86883187,6.077205236,0.076430365,7156.0,21.70676384,355.45816060000004,3812.437222,42567.659960000005,No,96194.31899,18.85359808,264.81196830000005,41.629479499999995,8773.197753,80.0,Below_30,0.0,543.5019358,8.0,Foot_or_bicycle,Services_or_Retail,385.1487644,0.0,No
3608,10.0,1174.208285,202744.0439,Financial,391.4027618,Yes,517.9933911999999,No,Male,After_16:00,0.6346656070000001,0.526815123,8.451848847,7.0838108570000005,0.227664053,6.282350074,,32.63387987,435.93634860000003,6051.806609,54835.42969,Yes,268317.1533,20.87908879,68.21576800000001,59.92027824,153597.5247,60.0,45_and_up,2.0,686.6340996,10.0,Car,Public_Sector,484.98409339999995,2.0,No
3512,4.0,1457.26624,296809.23699999996,Financial,485.75541330000004,Yes,611.0261026000001,No,Female,By_16:00,0.656075206,0.761101372,7.776600355,3.639373789,9.865135346,6.08350157,5245.0,82.60131427,237.990084,6586.241194,38216.05484,Yes,373352.898,15.42692724,308.0017558,54.27236203,236454.0769,60.0,30-45,2.0,466.36769400000003,9.0,Car,Services_or_Retail,382.1480161,0.0,No
9610,5.0,500.03292989999994,45915.75166,Social,166.67764330000003,No,275.47636719999997,Yes,Male,After_16:00,0.163974511,0.264057771,2.480824878,6.530574082999999,8.227223356,1.415912141,7724.0,39.13306133,510.83430880000003,3776.432289,60303.281910000005,No,75887.22886,22.60164394,265.5888566,22.21472161,27958.114419999998,70.0,30-45,3.0,808.0254487000001,10.0,Foot_or_bicycle,Industry_or_other,641.4538681,0.0,No
3976,5.0,130.942826,20680.8001,Military,43.64760868,No,473.8129013,Yes,Male,By_16:00,0.769173621,0.289694654,2.662069404,5.204190356,6.468871199,1.262309272,5889.0,98.28166689,513.5897836,5765.30858,58008.59123,Maybe,,22.66251936,118.2362383,34.97298951,1958.761352,30.0,30-45,3.0,702.364035,9.0,Foot_or_bicycle,Student_or_Unemployed,385.5038792,1.0,Yes
2522,1.0,371.33043030000005,36929.435110000006,Healthcare,123.7768101,No,298.35503989999995,Yes,Female,By_16:00,0.626187931,0.96794915,9.57206245,8.948953496,4.325376383,3.385970315,7710.0,70.44617643,375.3075287,3734.165456,44166.48597,No,89015.72981,19.37285546,259.5624795,79.90982295,15454.475530000002,80.0,Below_30,1.0,564.7828883,,Foot_or_bicycle,Student_or_Unemployed,394.341217,3.0,No
6068,8.0,441.28204860000005,54788.644889999996,Healthcare,147.09401619999997,No,372.47364849999997,Yes,Female,After_16:00,0.7364804640000001,0.598276585,6.447130095,0.610532516,7.08625921,3.8169051360000004,8650.0,74.27284161,309.1580946,4343.0526740000005,40940.1485,No,138736.6188,17.5828921,240.1511509,59.70578594,21793.743619999997,80.0,Below_30,3.0,530.1733218999999,11.0,Public_or_other,Industry_or_other,429.3673438999999,0.0,Yes
764,6.0,366.9256347,55023.0846,Military,122.3085449,No,449.87114060000005,Yes,Female,After_16:00,0.804718003,0.066586877,4.065013423,1.658542803,2.593725524,2.624914539,3671.0,65.1038372,438.8148501,5376.341106,52866.89683,Maybe,202384.0431,20.94790801,99.44055768,53.05393811,15091.6887,30.0,30-45,4.0,659.7878581,9.0,Motorcycle_or_truck,Industry_or_other,439.734758,0.0,No
